,Time,Length,Sentiment
1900,65,81.0,0.0
1902,65,139.0,0.0
1904,65,140.0,0.5
1906,65,70.0,0.05
1908,65,28.0,0.0
1910,65,36.0,0.0
1912,65,44.0,-0.8
1914,65,52.0,-0.33181818181818185
1916,65,70.0,0.0
1918,65,140.0,0.5
1920,65,50.0,0.0
1922,65,43.0,0.6
1924,65,45.0,0.0
1926,65,62.0,0.4000000000000001
1928,65,120.0,-0.5
1930,65,140.0,0.5
1932,65,59.0,0.0
1934,65,148.0,0.18974358974358974
1936,65,136.0,0.13636363636363635
1938,65,49.0,0.7
1940,65,81.0,0.5
1942,65,89.0,-0.13333333333333333
1944,65,71.0,0.0
1946,65,49.0,0.13636363636363635
1948,65,49.0,0.36818181818181817
1950,65,107.0,0.13636363636363635
1952,65,46.0,0.8
1954,65,131.0,0.0
1956,65,91.0,-0.23076923076923078
1958,65,91.0,-0.23076923076923078
1960,65,140.0,0.5
1962,65,140.0,0.5
1964,65,107.0,0.0
1966,65,140.0,0.4000000000000001
1968,65,40.0,0.0
1970,65,140.0,0.5
1972,65,48.0,0.0
1974,65,140.0,0.5
1976,65,91.0,0.0
1978,65,22.0,0.0
1980,65,68.0,1.0
1982,65,140.0,0.5
1984,65,140.0,0.5
1986,65,140.0,0.5
1988,65,117.0,-0.8
1990,65,38.0,0.0
1992,65,140.0,-0.6999999999999998
1994,65,44.0,0.0
1996,65,55.0,0.0
1998,65,140.0,0.25
2000,65,62.0,0.0
2002,65,44.0,0.0
2004,65,63.0,0.0
2006,65,136.0,0.0
2008,65,48.0,0.25
2010,65,60.0,0.0
2012,65,140.0,0.5
2014,65,120.0,0.5
2016,65,139.0,-0.6999999999999998
2018,65,140.0,0.8
2020,65,140.0,0.5
